audio,transcription,normalized_transcription
train-0073,Whether it is regarding the team team ke one and one saare conversation vahaan record hote hain.,Whether it is regarding the team team ke one and one saare conversation vahaan record hote hain.
train-0074,Agar kisee client ke saath briefing call ho to vah record hotee hai kuchh ideas hain thoughts hain vah recorder karate hain to,Agar kisee client ke saath briefing call ho to vah record hotee hai kuchh ideas hain thoughts hain vah recorder karate hain to
train-0075,All of that goes ocean then there main bahut zyaada use karata hoon ab,All of that goes ocean then there main bahut zyaada use karata hoon ab
train-0076,Usaka mainne app download kiya hua hai and I absolutely love it mera char Ka premium subscription hai.,Usaka mainne app download kiya hua hai and I absolutely love it mera char Ka premium subscription hai.
train-0077,Then there is five me. L mein you kyonki I have a smart weighing machine. To,Then there is five me. L mein you kyonki I have a smart weighing machine. To
train-0078,Do haphte main apane weighing machine par smartly chalata hoon matalab machine par to roz hee chalata hoon apane we,Do haphte main apane weighing machine par smartly chalata hoon matalab machine par to roz hee chalata hoon apane we
train-0079,Measure karane ke lie lekin har do haphte usake jo silvar hain un par bhee chadhakar,Measure karane ke lie lekin har do haphte usake jo silvar hain un par bhee chadhakar
train-0080,I get a lot of my parameters. To body fat kitana,I get a lot of my parameters. To body fat kitana
train-0081,"Hai, skeleton mass kitana hai, protein percentage karana hai. Metabolic age kee","Hai, skeleton mass kitana hai, protein percentage karana hai. Metabolic age kee"
train-0082,Hai Fun fact. Meree abhee metabolic age thirty six years hai.,Hai Fun fact. Meree abhee metabolic age thirty six years hai.
train-0083,Four ka hone vaala hoon and I metabolic k,Four ka hone vaala hoon and I metabolic k
train-0084,As if Iim thirty six to meree body composition and my heart,As if Iim thirty six to meree body composition and my heart
train-0085,Beat my sleep patterns was sab kuchh indicate internet thirty six. I love agar main,Beat my sleep patterns was sab kuchh indicate internet thirty six. I love agar main
train-0086,Tees paintees saal tak ka ho jaoo. I think I. This like literally ten years,Tees paintees saal tak ka ho jaoo. I think I. This like literally ten years
train-0087,Andar I love it. Phir fitbit kyon kyonki meree ghadee,Andar I love it. Phir fitbit kyon kyonki meree ghadee
train-0088,Hai? To saara jo bhee data aata hai mere steps mere calories,Hai? To saara jo bhee data aata hai mere steps mere calories
train-0089,"Isamen record karata hoon to har roz mein kya kha raha hoon, kis samay kha raha hoon all of that is recorded. Meree isalie","Isamen record karata hoon to har roz mein kya kha raha hoon, kis samay kha raha hoon all of that is recorded. Meree isalie"
train-0090,Usamen record hotee hai so I absolutely love it. Then there is a bio business by,Usamen record hotee hai so I absolutely love it. Then there is a bio business by
train-0091,Is a digital bank based out of Uae to hamaara jo,Is a digital bank based out of Uae to hamaara jo
train-0092,"Uae ya Dubai ka jo inter business setup hai, usako","Uae ya Dubai ka jo inter business setup hai, usako"
train-0093,Bio se manage hota hai and then there is help club. Help club ek app hai,Bio se manage hota hai and then there is help club. Help club ek app hai
train-0094,Jo hamane launch kiya hai it is a beautiful app and I love it it is an,Jo hamane launch kiya hai it is a beautiful app and I love it it is an
train-0095,Anonymous app to give and receive help. Madad maangate hue na,Anonymous app to give and receive help. Madad maangate hue na
train-0096,Bahut log sharminda hote hain. Unhen aisa lagata hai ki yah log kya bolenge? Log ham pe hanse aaainge,Bahut log sharminda hote hain. Unhen aisa lagata hai ki yah log kya bolenge? Log ham pe hanse aaainge
train-0097,Ya shaayad vah sach bhee nahin bolenge kyonki vah madad karana to chaahate hain lekin vah apana naam lekar madad nahin karana chaahate,Ya shaayad vah sach bhee nahin bolenge kyonki vah madad karana to chaahate hain lekin vah apana naam lekar madad nahin karana chaahate
train-0098,Kaheen kisee ko bula phalaana den hain. To hamane ek economist app banaaya hai jahaan aap win,Kaheen kisee ko bula phalaana den hain. To hamane ek economist app banaaya hai jahaan aap win
train-0099,Jee jhijhak madad maang sakate hain and bina jhijhak madad de sakate hain. What I love is the,Jee jhijhak madad maang sakate hain and bina jhijhak madad de sakate hain. What I love is the
train-0100,Various kind of questions which people are asking ki I lonely mera break,Various kind of questions which people are asking ki I lonely mera break
train-0101,Ho chuka hai ya meree naukaree nahin lag rahee hai ya mujhe samajh nahin aa raha hai ki yah kaise karen,Ho chuka hai ya meree naukaree nahin lag rahee hai ya mujhe samajh nahin aa raha hai ki yah kaise karen
train-0102,Yah kaise karen? To its guidance it is advice it is companion,Yah kaise karen? To its guidance it is advice it is companion
train-0103,"It is beautiful, all the use cases jisake lie log help ko use kar rahe hain.","It is beautiful, all the use cases jisake lie log help ko use kar rahe hain."
train-0104,And agar aap bhee interested hain to please download karie Ios aur Android donon par,And agar aap bhee interested hain to please download karie Ios aur Android donon par
train-0105,Available hai. Phir hai yaatra my most free,Available hai. Phir hai yaatra my most free
train-0106,Used government app which I absolutely love yaatra se,Used government app which I absolutely love yaatra se
train-0107,Aap apane chehare ko apana bording pass bana sakate hain. To jab,Aap apane chehare ko apana bording pass bana sakate hain. To jab
train-0108,Kabhee bhee mujhe dillee se to kaaphee airport par ho gaya. Dillee se agar flight lenee,Kabhee bhee mujhe dillee se to kaaphee airport par ho gaya. Dillee se agar flight lenee
train-0109,Hai to main apana bording bass se scan karata hoon and now I can use my face,Hai to main apana bording bass se scan karata hoon and now I can use my face
train-0110,Enter the airport aur kaheen bhee mujhe apana dikhaane kee zaroorat,Enter the airport aur kaheen bhee mujhe apana dikhaane kee zaroorat
train-0111,Nahin hotee hai. Absolutely love. Phir hai ka is,Nahin hotee hai. Absolutely love. Phir hai ka is
train-0112,Quiz hai. To mujhe quiz karana bahut pasand hai. Zyaadaatar quiz master,Quiz hai. To mujhe quiz karana bahut pasand hai. Zyaadaatar quiz master
train-0113,Ke roop mein mujhe savaal poochhana bahut pasand hai. To apane doston ke saath ham bahut saare quizzes,Ke roop mein mujhe savaal poochhana bahut pasand hai. To apane doston ke saath ham bahut saare quizzes
train-0114,Vagairah karate hain. Kee specialty hai ki aap online apane doston ke saath,Vagairah karate hain. Kee specialty hai ki aap online apane doston ke saath
train-0115,Real time mein khel sakate hain to I can create a quiz aur phir vah code main logon ke saath share kar sakata hoon vah,Real time mein khel sakate hain to I can create a quiz aur phir vah code main logon ke saath share kar sakata hoon vah
